Region,Fylke,Kommuner
00,Oslo,Oslo
01,Oslo,Oslo
02,Oslo,Oslo
03,Oslo,Oslo
04,Oslo,Oslo
05,Oslo,Oslo
06,Oslo,Oslo
07,Oslo,Oslo
08,Oslo,Oslo
09,Oslo,Oslo
10,Oslo,Oslo
11,Oslo,Oslo
12,Oslo,Oslo
13,Akershus/Østfold,Bærum;Asker
14,Akershus/Østfold,Nordre Follo;Ås;Frogn;Nesodden;Lørenskog;Lillestrøm;Nittedal
15,Akershus/Østfold,Moss;Våler
15,Akershus/Østfold,Vestby (Akershus)
16,Akershus/Østfold,Fredrikstad;Hvaler;Råde
17,Akershus/Østfold,Sarpsborg;Aremark
18,Akershus/Østfold,Marker;Indre Østfold;Skiptvet
19,Akershus/Østfold,Aurskog-Høland;Enebakk;Lillestrøm;Nes
20,Akershus/Østfold,Rælingen;Lillestrøm;Gjerdrum;Ullensaker;Eidsvoll;Nannestad;Hurdal
21,Akershus/Østfold,Nes
21,Akershus/Østfold,Nord-Odal;Sør-Odal
22,Hedmark,Kongsvinger;Sør-Odal;Eidskog;Grue;Åsnes
23,Hedmark,Hamar;Ringsaker;Løten;Stange
24,Hedmark,Våler;Elverum;Trysil;Åmot;Stor-Elvdal;Rendalen;Engerdal
25,Hedmark,Tolga;Tynset;Alvdal;Folldal;Os
26,Oppland,Ringsaker
26,Oppland,Lillehammer;Dovre;Lesja;Skjåk;Lom;Vågå;Nord-Fron;Sel;Sør-Fron;Ringebu;Øyer;Gausdal
27,Oppland,Lunner;Gran
28,Oppland,Gjøvik;Østre Toten;Vestre Toten;Søndre Land;Nordre Land;Etnedal
29,Oppland,Sør-Aurdal;Nord-Aurdal;Vestre Slidre;Øystre Slidre;Vang
30,Buskerud,Drammen
30,Buskerud/Vestfold,Holmestrand
31,Buskerud/Vestfold,Horten;Tønsberg;Sandefjord;Færder
32,Buskerud/Vestfold,Sandefjord;Larvik
33,Buskerud/Vestfold,Sigdal;Modum;Øvre Eiker
34,Buskerud/Vestfold,Asker;Lier
35,Buskerud/Vestfold,Ringerike;Hole;Flå;Nesbyen;Gol;Hemsedal;Ål;Hol;Krødsherad;Nore og Uvdal
35,Buskerud/Vestfold,Jevnaker;Gran;Sør-Aurdal
36,Buskerud/Vestfold,Kongsberg;Flesberg;Rollag;Nore og Uvdal
36,Buskerud/Vestfold,Notodden;Tinn
37,Telemark,Skien;Siljan;Kragerø;Drangedal
38,Telemark,Nome;Midt-Telemark;Seljord;Kviteseid;Nissedal;Fyresdal;Tokke;Vinje
39,Telemark,Porsgrunn;Bamble
40,Rogaland,Stavanger;Sola;Randaberg
41,Rogaland,Stavanger;Sandnes;Strand;Hjelmeland;Suldal;Kvitsøy
42,Rogaland,Suldal;Sauda;Karmøy
43,Rogaland,Eigersund;Sandnes;Sokndal;Bjerkreim;Hå;Klepp;Time;Gjesdal
44,Rogaland,Lund
44,Rogaland,Flekkefjord;Kvinesdal;Sirdal
45,Vest-Agder,Lindesnes;Farsund;Åseral;Lyngdal;Hægebostad
